CCODE,BCODE
PAK,INDU
CHN,IRWD
IND,IRWD
MMR,IRWD
ITA,ISNZ
SVN,ISNZ
NOR,JCBS
RUS,JCBS
EGY,JORD
ISR,JORD
JOR,JORD
LBN,JORD
SYR,JORD
ETH,JUBA
KEN,JUBA
SOM,JUBA
COL,JURD
PAN,JURD
IND,KALD
MMR,KALD
FIN,KEMI
RUS,KEMI
MDA,KGNK
UKR,KGNK
BFA,KMOE
GHA,KMOE
CIV,KMOE
MLI,KMOE
BGD,KNFL
IND,KNFL
MMR,KNFL
AFG,KOWL
IRN,KOWL
BIH,KRKA
HRV,KRKA
NOR,KRLV
SWE,KRLV
AGO,KUNE
NAM,KUNE
ARM,KURA
AZE,KURA
GEO,KURA
IRN,KURA
RUS,KURA
TUR,KURA
POL,LAVA
RUS,LAVA
ETH,LGPS
KEN,LGPS
SDN,LGPS
UGA,LGPS
PRT,LIMA
ESP,LIMA
DZA,LKCH
CMR,LKCH
CAF,LKCH
TCD,LKCH
LBY,LKCH
NER,LKCH
NGA,LKCH
SDN,LKCH
ARG,LKFN
CHL,LKFN
KEN,LKNT
TZA,LKNT
ALB,LKPP
GRC,LKPP
MKD,LKPP
BOL,LKTC
CHL,LKTC
PER,LKTC
ETH,LKTK
KEN,LKTK
SDN,LKTK
UGA,LKTK
MNG,LKUN
RUS,LKUN
LVA,LLUP
LTU,LLUP
SLV,LMPA
GTM,LMPA
HND,LMPA
BWA,LMPO
MOZ,LMPO
ZAF,LMPO
ZWE,LMPO
BRA,LMRM
URY,LMRM
IDN,LOES
TLS,LOES
GIN,LOFF
LBR,LOFF
ARG,LPTA
BOL,LPTA
BRA,LPTA
PRY,LPTA
URY,LPTA
GIN,LSCR
SLE,LSCR
LBR,MANA
SLE,MANA
DOM,MASS
HTI,MASS
LAO,MAXX
VNM,MAXX
GAB,MBEX
GNQ,MBEX
DZA,MDJD
TUN,MDJD
KHM,MEKO
CHN,MEKO
LAO,MEKO
MMR,MEKO
THA,MEKO
VNM,MEKO
PRT,MINO
ESP,MINO
COL,MIRA
ECU,MIRA
CAN,MISS
USA,MISS
RUS,MIUS
UKR,MIUS
GIN,MOAX
LBR,MOAX
SLE,MOAX
BLZ,MOHO
GTM,MOHO
BEN,MONO
TGO,MONO
GTM,MOTQ
HND,MOTQ
MOZ,MPUT
ZAF,MPUT
SWZ,MPUT
AFG,MRGB
TKM,MRGB
BRA,MRNI
GUF,MRNI
SUR,MRNI
BGR,MRSA
GRC,MRSA
TUR,MRSA
COL,MTJE
ECU,MTJE
FIN,NAAT
NOR,NAAT
HND,NEGR
NIC,NEGR
CAN,NELS
USA,NELS
DZA,NGER
BEN,NGER
BFA,NGER
CMR,NGER
TCD,NGER
GIN,NGER
CIV,NGER
MLI,NGER
NER,NGER
NGA,NGER
SYR,NHRK
TUR,NHRK
BDI,NILE
CAF,NILE
ZAR,NILE
EGY,NILE
ERI,NILE
ETH,NILE
KEN,NILE
RWA,NILE
SDN,NILE
TZA,NILE
UGA,NILE
BLR,NMAN
LVA,NMAN
LTU,NMAN
POL,NMAN
RUS,NMAN
BIH,NRTV
HRV,NRTV
BLR,NRVA
EST,NRVA
LVA,NRVA
RUS,NRVA
BGR,NSTO
GRC,NSTO
COG,NYGA
GAB,NYGA
CHN,OBXX
KAZ,OBXX
MNG,OBXX
RUS,OBXX
DZA,ODBN
MAR,ODBN
CZE,ODER
DEU,ODER
POL,ODER
SVK,ODER
CMR,OGOO
COG,OGOO
GNQ,OGOO
GAB,OGOO
AGO,OKVG
BWA,OKVG
NAM,OKVG
ZWE,OKVG
FIN,OLNG
RUS,OLNG
KAZ,ORAL
RUS,ORAL
BWA,ORAN
LSO,ORAN
NAM,ORAN
ZAF,ORAN
BRA,ORIN
COL,ORIN
VEN,ORIN
BEN,OUEM
NGA,OUEM
TGO,OUEM
FIN,OULU
RUS,OULU
BRA,OYPK
GUF,OYPK
KEN,PANG
TZA,PANG
SLV,PAZX
GTM,PAZX
DOM,PDNL
HTI,PDNL
MMR,PKCN
THA,PKCN
ARG,PLNA
CHL,PLNA
BRN,PNDR
MYS,PNDR
FRA,POXX
ITA,POXX
CHE,POXX
POL,PRLN
RUS,PRLN
EST,PRNU
LVA,PRNU
ARG,PSCU
CHL,PSCU
FIN,PSVK
NOR,PSVK
RUS,PSVK
COL,PTIA
ECU,PTIA
ARG,PUEL
CHL,PUEL
CHN,PULT
MNG,PULT
RUS,PULT
MOZ,PUNG
ZWE,PUNG
IRN,RDKH
PAK,RDKH
CHN,REDX
LAO,REDX
VNM,REDX
BGR,REZV
TUR,REZV
MEX,RGNA
USA,RGNA
ARG,RGSA
CHL,RGSA
AUT,RHIN
BEL,RHIN
FRA,RHIN
DEU,RHIN
ITA,RHIN
LIE,RHIN
LUX,RHIN
NLD,RHIN
CHE,RHIN
FRA,RHON
CHE,RHON
FRA,ROIA
ITA,ROIA
MWI,RVMA
MOZ,RVMA
TZA,RVMA
MOZ,SABI
ZWE,SABI
KHM,SAIG
VNM,SAIG
EST,SALC
LVA,SALC
CHN,SALW
MMR,SALW
THA,SALW
AZE,SAMR
RUS,SAMR
CMR,SANA
CAF,SANA
NGA,SANA
GIN,SASS
CIV,SASS
CAN,SCRO
USA,SCRO
BEL,SEIN
FRA,SEIN
LUX,SEIN
GIN,SENG
MLI,SENG
MRT,SENG
SEN,SENG
ARG,SENO
CHL,SENO
IDN,SEPK
PNG,SEPK
BEL,SHLD
FRA,SHLD
NLD,SHLD
KAZ,SHUR
KGZ,SHUR
CRI,SIOL
PAN,SIOL
GIN,SJAF
LBR,SJAF
CAN,SJNA
USA,SJNA
CRI,SJUA
NIC,SJUA
CAN,SKAG
USA,SKAG
CAN,SLAW
USA,SLAW
ARG,SMAR
CHL,SMAR
IDN,SMBK
MYS,SMBK
GIN,SPAU
LBR,SPAU
MDA,SRTA
UKR,SRTA
BLZ,SRTU
GTM,SRTU
CAN,STKN
USA,STKN
BGR,STUM
GRC,STUM
MKD,STUM
SRB,STUM
GTM,SUCT
MEX,SUCT
CHN,SUJF
RUS,SUJF
AZE,SULK
GEO,SULK
RUS,SULK
KHM,SVCD
VNM,SVCD
DZA,TAFN
MAR,TAFN
PRT,TAGU
ESP,TAGU
CAN,TAKU
USA,TAKU
KAZ,TALA
KGZ,TALA
IDN,TAMI
PNG,TAMI
FIN,TANA
NOR,TANA
GHA,TANO
CIV,TANO
BLZ,TEMA
GTM,TEMA
GEO,TERK
RUS,TERK
LSO,THUK
ZAF,THUK
IRN,TIGR
IRQ,TIGR
JOR,TIGR
SAU,TIGR
SYR,TIGR
TUR,TIGR
MEX,TIJU
USA,TIJU
IDN,TJWA
PNG,TJWA
FIN,TORN
NOR,TORN
SWE,TORN
AFG,TRIM
CHN,TRIM
KGZ,TRIM
PAK,TRIM
TJK,TRIM
FIN,TULM
RUS,TULM
ECU,TUMB
PER,TUMB
CHN,TUMN
PRK,TUMN
RUS,TUMN
MOZ,UBLZ
ZAF,UBLZ
SWZ,UBLZ
KEN,UMBA
TZA,UMBA
GNQ,UTBN
GAB,UTBN
ARG,VDVA
CHL,VDVA
LVA,VENT
LTU,VENT
ALB,VJSE
GRC,VJSE
BGR,VLKA
TUR,VLKA
BLR,VOLG
KAZ,VOLG
RUS,VOLG
BEN,VOLT
BFA,VOLT
GHA,VOLT
CIV,VOLT
MLI,VOLT
TGO,VOLT
BGR,VRDR
GRC,VRDR
MKD,VRDR
SRB,VRDR
BLR,VSTL
CZE,VSTL
POL,VSTL
SVK,VSTL
UKR,VSTL
FIN,VUKS
RUS,VUKS
ISR,WADI
LBN,WADI
CAN,WHIT
USA,WHIT
DNK,WIED
DEU,WIED
CHN,YALU
PRK,YALU
MEX,YAQU
USA,YAQU
ARG,YELC
CHL,YELC
MNG,YNSY
RUS,YNSY
BEL,YSER
FRA,YSER
CAN,YUKN
USA,YUKN
AGO,ZAMB
BWA,ZAMB
ZAR,ZAMB
MWI,ZAMB
MOZ,ZAMB
NAM,ZAMB
TZA,ZAMB
ZMB,ZAMB
ZWE,ZAMB
ARG,ZAPL
BOL,ZAPL
CHL,ZAPL
ECU,ZARM
PER,ZARM
